ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10222837,HY409243,9/3/15,057XX N SHERIDAN RD,142,HOMICIDE,RECKLESS HOMICIDE,STREET,FALSE,FALSE,2022,20,48,77,01B,1168593,1938326,2015,9/10/15 11:43,41.9862963,-87.65528197,"(41.9862963, -87.655281972)"
22077,HY408225,9/3/15,016XX W 115TH ST,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,TRUE,FALSE,2234,22,34,75,01A,1167266,1828441,2015,10/9/15 15:56,41.68478979,-87.6633151,"(41.684789786, -87.6633151)"
22075,HY408120,9/2/15,007XX N LONG AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1524,15,37,25,01A,1140187,1904331,2015,9/10/15 11:43,41.8935802,-87.76059494,"(41.893580201, -87.760594937)"
22073,HY408008,9/2/15,008XX W 68TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,723,7,17,68,01A,1171674,1859756,2015,9/10/15 11:43,41.77062737,-87.64626359,"(41.770627366, -87.646263585)"
22071,HY407978,9/2/15,068XX S MERRILL AVE,110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,FALSE,FALSE,331,3,5,43,01A,1191725,1859996,2015,9/10/15 11:43,41.77082289,-87.57275763,"(41.770822885, -87.572757629)"
22074,HY407689,9/2/15,059XX W DIVERSEY AVE,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,FALSE,FALSE,2514,25,30,19,01A,1136133,1917995,2015,9/10/15 11:43,41.93114915,-87.77515753,"(41.931149149, -87.775157527)"
22072,HY402928,9/2/15,033XX W WALNUT ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1123,11,28,27,01A,1153965,1901425,2015,9/10/15 11:43,41.88534232,-87.71007025,"(41.885342324, -87.710070246)"
22070,HY407022,9/2/15,026XX E 74TH PL,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,334,3,7,43,01A,1195243,1856193,2015,9/30/15 15:32,41.76030109,-87.55998757,"(41.760301092, -87.559987568)"
22069,HY406845,9/2/15,050XX N WINTHROP AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,2024,20,48,3,01A,1167957,1933812,2015,9/10/15 11:43,41.97392356,-87.6577521,"(41.973923557, -87.657752098)"
22068,HY406845,9/2/15,050XX N WINTHROP AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,2024,20,48,3,01A,1167957,1933812,2015,9/10/15 11:43,41.97392356,-87.6577521,"(41.973923557, -87.657752098)"
22067,HY406781,9/2/15,027XX W LEXINGTON ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1135,11,2,27,01A,1158251,1896590,2015,9/10/15 11:43,41.87198812,-87.69446339,"(41.871988123, -87.694463394)"
22066,HY406754,9/2/15,013XX S KOSTNER AVE,110,HOMICIDE,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,1011,10,24,29,01A,1147264,1893380,2015,9/10/15 11:43,41.86339681,-87.73488372,"(41.863396806, -87.734883724)"
22065,HY406264,9/1/15,061XX W FULLERTON AVE,110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,FALSE,FALSE,2512,25,29,19,01A,1135255,1915305,2015,9/10/15 11:43,41.92378312,-87.77844804,"(41.923783122, -87.778448036)"
22064,HY405238,8/31/15,004XX N LAWLER AVE,110,HOMICIDE,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,1532,15,28,25,01A,1142624,1902469,2015,9/10/15 11:43,41.88842566,-87.75169092,"(41.888425663, -87.751690918)"
22063,HY405177,8/31/15,049XX S DREXEL BLVD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,222,2,4,39,01A,1183148,1872501,2015,9/10/15 11:43,41.80534153,-87.60380831,"(41.805341531, -87.603808314)"
22062,HY404385,8/31/15,039XX N SPAULDING AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,FALSE,FALSE,1733,17,33,16,01A,1153687,1926021,2015,9/10/15 11:43,41.95284137,-87.71043508,"(41.95284137, -87.710435076)"
22061,HY402725,8/30/15,060XX S THROOP ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,713,7,16,67,01A,1168694,1864653,2015,9/10/15 11:43,41.78413015,-87.65704593,"(41.784130147, -87.657045934)"
22060,HY402811,8/30/15,082XX S INGLESIDE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,631,6,8,44,01A,1183999,1850536,2015,9/10/15 11:43,41.7450477,-87.60137289,"(41.745047697, -87.601372888)"
22059,HY401623,8/29/15,030XX W LEXINGTON ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1134,11,28,27,01A,1156317,1896547,2015,9/10/15 11:43,41.87190941,-87.7015651,"(41.871909407, -87.701565099)"
22100,HY400038,8/28/15,066XX S MICHIGAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,322,3,20,69,01A,,,2015,9/24/15 19:50,,,
22055,HY398643,8/26/15,011XX W 51ST ST,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,933,9,16,61,01A,1169612,1870980,2015,9/10/15 11:43,41.80147229,-87.65349676,"(41.801472294, -87.653496757)"
22057,HY397947,8/26/15,030XX W VAN BUREN ST,110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,FALSE,FALSE,1134,11,28,27,01A,1155960,1898002,2015,9/10/15 11:43,41.87590928,-87.70283656,"(41.875909279, -87.702836558)"
22056,HY397947,8/26/15,030XX W VAN BUREN ST,110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,FALSE,FALSE,1134,11,28,27,01A,1155960,1898002,2015,9/10/15 11:43,41.87590928,-87.70283656,"(41.875909279, -87.702836558)"
22054,HY397524,8/25/15,107XX S WENTWORTH AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,513,5,34,49,01A,1176857,1833520,2015,9/1/15 15:10,41.69851726,-87.62805289,"(41.698517258, -87.62805289)"
22053,HY395938,8/25/15,011XX N CICERO AVE,110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,FALSE,FALSE,1531,15,37,25,01A,1144151,1907349,2015,9/1/15 15:10,41.9017884,-87.74596047,"(41.9017884, -87.745960471)"
